,title,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-1199490911632553070,Our password hashing has no clothes,Deep Learning Demystified,Introduction to Natural Language Processing - University of Michigan | Coursera,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,A New Number Format for Computers Could Nuke Approximation Errors for Good,Python Ecosystem for Machine Learning - Machine Learning Mastery
-1196068832249300490,The 'impossible' is now a reality,Sete Reinos,"Inbox by Gmail: a better way to keep track of events, newsletters and links",A nova marca da HP foi criada (e rejeitada) 5 anos atrás,A identidade visual de Budapeste para as Olimpíadas de 2024,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)"
-1192619987285372590,Apache Spark 2.0 Preview: Machine Learning Model Persistence,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,The Internet of Things is looking for its VisiCalc,Google connects BigQuery to Google Drive and Sheets,A Beginner's Guide To Understanding Convolutional Neural Networks,8 Best Machine Learning Cheat Sheets
-1178371721262103855,"Ultrapar, por meio da Ipiranga, assina compra da Ale por R$ 2,17 bilhões",Lista tem 15 dicas para Google Docs; teste,Ultrapar aprova investimento adicional de R$ 196 milhões para a Ipiranga,Portugal runs for four days straight on renewable energy alone,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets,"Conheça o GoBox, marketplace do Grupo Abril - VEJA.com"
-1151034582628982912,New JavaScript library brings Java to browsers without applets,The five phases of migrating to Google Cloud Platform,Prototypal Object-Oriented Programming using JavaScript,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",The Physical Web,These gloves can convert sign language into spoken English
-1124738136890721085,A Baseline for Hybrid Mobile Developers,CSS Containment in Chrome 52 | Web Updates - Google Developers,Apple's secret strategy: Underpromise and overdeliver,Building an Angular 2 Application for Production,Leveling Up Your JavaScript -,Sam Newman - Backends For Frontends
-1123543351704082417,Xamarin gratuito no Visual Studio (Channel 9),Saying �� to Allo and Duo: new apps for smart messaging and video calling,SIG Combibloc lança campanha para Américas e consolida sua proposta de valor,LukeW | Obvious Always Wins,Unimart Shopping Campinas e Tetra Pak realizam Circuito da Reciclagem,Stay focused with Google Calendar event notifications in your browser
-1119244241345534741,A Technical Primer On Causality,Mastering Software Development in R · Simply Statistics,[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber,"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow",Lessons from Becoming a Data-Driven Organization,Probabilistic Programming
-1114438937697017987,"Amazon open-sources its own deep learning software, DSSTNE",Deep learning software knows that a rose is a rose is a rosa rubiginosa,"Apple acquires Turi, a machine learning company","Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",DeepMind moves to TensorFlow,New Sessions Added To Google I/O 2016 Schedule
-1111518890369033396,The Business Case for Progressive Web Apps,Effective learning through code workshops | Box Blog,You don't talk about refactoring club,World's Fastest Growing Open Source Platform Pushes Out New Release,I Peeked Into My Node_Modules Directory And You Won't Believe What Happened Next - friendship .js,Prototypal Object-Oriented Programming using JavaScript
-1101832997669013246,Visa Introduces NFC-Enabled Payment Ring for Team Visa Sponsored Athletes to Use at Rio 2016 Olympic Games,"Good riddance, gig economy: Uber, Ayn Rand and the awesome collapse of Silicon Valley's dream of destroying your job",Brazil's Bank Itaú Joins R3 Blockchain Consortium - CoinDesk,Failing model: Plastic Card + App and Card + Wallet Players?,Especial: 5 startups brasileiras que podem tornar-se Unicórnios,#FinTech is all about human-centred design - Chris Skinner's blog
-1101361754763388054,Browser Trends December 2016: Mobile Overtakes Desktop,A New Number Format for Computers Could Nuke Approximation Errors for Good,CSS Containment in Chrome 52 | Web Updates - Google Developers,Acquia Engage 2016: Day One,HHVM vs PHP 7 - The Competition Gets Closer - Kinsta,"Testes mostram um ótimo desempenho do ""Ubuntu on Windows"""
-1088742830039453732,The next stop on the road to revolution is ambient intelligence,Five things to include in your digital transformation playbook,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,How AWS came to be,Carrefour começa a operar e-commerce no Brasil | EXAME.com,7 Questions to Ask Before Your Next Digital Transformation
-1072987232233605661,IBM Watson e a revolução pela inteligência artificial | Udacity,Kickstarter 3D printer will print circuit boards as part of your designs,Futuro do mercado financeiro é tema de evento da Original Devs - Startupi,SAMSUNG OCEAN - Novas turmas de treinamento de 2017 - Embarcados,E os vencedores do Latam Founders Awards 2016 são... - Startupi,Google's new translation software is almost as good as human translators
-1068603220639552685,Onde a tecnologia e o cuidado se encontram? - Saúde Business,[Framework] Lean IT Governance,[Tools] XMind Plus - Last Chance for students' 1$ gift,"[Techniques] Será que você está fazendo ""brainstorm"" da forma correta? - Blog Locaweb - Notícias sobre tecnologia, programação e muito mais.",The omnichannel customer experience is poised to take off in regulated industries,[Tools] See how the JIRA Portfolio team uses JIRA Portfolio
-1055630159212837930,Facial recognition systems stumble when confronted with million-face database,Artificial Intelligence's White Guy Problem,An MIT Algorithm Predicts the Future by Watching TV,Artificial intelligence is changing SEO faster than you think,Former NASA chief unveils $100 million neural chip maker KnuEdge,Blaise Agüera y Arcas: How computers are learning to be creative
-1033806831489252007,React Native v0.32.0-rc.0 released,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card",WebAIM: WebAIM's WCAG 2.0 Checklist - for HTML documents,Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery,Características de Arquiteturas Evolutivas,"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro"
-1022885988494278200,12 JavaScript Hacks,Learn TypeScript in 30 Minutes,"Finally, CSS In JavaScript! Meet CSSX - Smashing Magazine",15 Interesting JavaScript and CSS Libraries for September 2016,O homofóbico dentro de cada um,"Mesmo sem apoio, Parada LGBT de Campinas arrasta multidão pelas ruas"
-1021685224930603833,Indústria 4.0: desafios e oportunidades,Buscas on-line por carros têm expansão de 43% no 1º trimestre,Why Introverts Are Better at Sales Than Extroverts,Honda e Softbank desenvolverão sistema de IA para ajudar os motoristas,How to Create an Exponential Mindset,"Inovador, Nubank ganha prêmio no Vale do Silício | EXAME.com"
-998818216447049475,Introducing Style Detection for Google Cloud Vision API,Introducing the Open Images Dataset,"How to Build and Publish ES6 Modules Today, with Babel and Rollup","Facebook sends a loud message about Messenger bots, but will we hear it?",This Super Accurate Portrait Selection Tech Uses Neural Networks,Hiri wants to fix the workplace email problem
-986193709330758766,System Code Geeks are giving away a FREE Sublime Text Editor License,Google lança Cloud Functions,Sam Newman - Backends For Frontends,Firebase Test Lab for Android,Vision API - Image Content Analysis,What Color is Your Function?
-986027724303592548,Neural networks are inadvertently learning our language's hidden gender biases,Workplace diversity in Brazil: there's still a long way to go,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,The Genderbread Person v3 | It's Pronounced Metrosexual,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer
-969155230116728853,Learn Hiragana: The Ultimate Guide,Como são escrita as risadas em japonês? - Suki Desu,Modelando APIs REST com Swagger,The Hardest Part About Microservices: Your Data,Xamarin for Everyone,Introduction To Chatbots
-945863510619496974,HHVM vs PHP 7 - The Competition Gets Closer - Kinsta,"Chrome 53 Beta: Shadow DOM, PaymentRequest, and Android autoplay",The Joel Test: 12 Steps to Better Code,Browser Trends December 2016: Mobile Overtakes Desktop,It's Time to Unlearn Everything You Know About Java Exceptions | Takipi Blog,Hacked Website Report - 2016/Q3
-927862226557602150,Novo Honda Civic é eleito o carro mais seguro dos EUA,Nintendo to Release Mini NES with 30 Pre-Loaded Games in November!,Elasticsearch: CSV exporter for Kibana Discover,Globo G1 lança Bot para o Telegram que te ajuda a estudar para o Enem,The emerging Darwinian approach to analytics and augmented intelligence,Google believes its superior AI will be the key to its future
-912681925384819247,15 Interesting JavaScript and CSS Libraries for September 2016,Learn TypeScript in 30 Minutes,"Finally, CSS In JavaScript! Meet CSSX - Smashing Magazine",12 JavaScript Hacks,O homofóbico dentro de cada um,30 Learning Resources For Mastering Angular 2
-908052164352446106,IoT a favor do relacionamento médico-paciente,Como testar exceções em Java com o JUnit - Code a Test,Micro Profile JavaEE com Wildfly Swarm,Using behavioral data to improve customer satisfaction,Google creates new European research group to focus on machine learning,Powering a more connected and collaborative enterprise
-885886002174762919,"Onion Creates a $5 Linux Computer with Wi-Fi, Designed for IoT Applications","Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",These gloves can convert sign language into spoken English,Skully officially admits it's over,Como a Microsoft está trabalhando com o conceito de IoT - Startupi,Grow fast or die slow: Focusing on customer success to drive growth
-885453047081832598,What Google AMP Means for Every Marketer,Blockchain won't kill banks: Bitcoin pioneer,Cognizant Named a Digital Transformation Leader in the Life Science Industry,The End Of Apps As We Know Them - Inside Intercom,"Forget Wallets, Check out This Serious FinTech Product Built in India: ZestMoney for Instant Credit",Nubank pode fechar as portas se BC confirmar mudança amanhã
-879594538384021068,O manual do deboísta corporativo,Live asynchronously.,Bots won't replace apps. Better apps will replace apps.,You're Asking Too Much of Chat Bots. Just Let Them Grow Up,Tutorial: How to build a GraphQL server - Building Apollo,How to build cross-platform mobile apps using nothing more than a JSON markup
-873780453963615794,Taco Bell chega ao Brasil no segundo semestre desse ano,Ranking 50 Maiores Empresas do E-commerce Brasileiro/2016,Build Apps Faster with Salesforce - Webinar,Marketplace,TECNISA melhora performance de marketing digital com estratégias em parceira com o Google,Digital is all about the people - Chris Skinner's blog
-862645085190435621,B2B Ecommerce Growing; Becoming More Like B2C,7 Questions to Ask Before Your Next Digital Transformation,The omnichannel customer experience is poised to take off in regulated industries,Why the customer experience matters,Five things to include in your digital transformation playbook,How AWS came to be
-861913102049789637,Transfer Style But Not Color,Google connects BigQuery to Google Drive and Sheets,"Pinterest acquires the team behind Fleksy, a custom iOS and Android keyboard",The emerging Darwinian approach to analytics and augmented intelligence,Exclusive: Why Microsoft is betting its future on AI,Google's Cloud Machine Learning service is now in public beta
-860751600992244121,Pega até em marte! TP-Link lança extensor de WiFi que tem alcance de 3 km²!,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",These gloves can convert sign language into spoken English,Touch (TV Series 2012-2013),Grow fast or die slow: Focusing on customer success to drive growth,"Hello, a nova rede social do Orkut, está liberada no Brasil"
-820343972901090172,Stop saying learning to code is easy.,Post: Just Say mNo to Hungarian Notation,Pull request first - Practical Blend,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,The Importance of Code Reviews,Clean Coder Blog
-816352740763488513,Manage Client-Side Packages with Bower - ASP.NET documentation,Developers can run Bash Shell and user-mode Ubuntu Linux binaries on Windows 10,JetBrains DataGrip: Your Swiss Army Knife for Databases and SQL,The Future of Pen: Windows Ink,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',Desenvolvimento Efetivo na Plataforma Microsoft: o livro.
-799315203186826480,What to Expect at WWDC 2016,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,Joel on Software,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,"Google Cloud Dataproc - the fast, easy and safe way to try Spark 2.0-preview | Google Cloud Big Data and Machine Learning Blog"
-793729620925729327,Closure Compiler in JavaScript,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',Elastic Stack 5.0.0 Released,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",Chrome OS now has Material Design for the desktop,Android Studio 2.2
-790959521412948853,"Microsoft lança Teams, nova plataforma de chat concorrente do Slack | MacMagazine.com.br",Elastic Stack 5.0.0 Released,Chrome OS now has Material Design for the desktop,O RH chega ao board,Terms Aggregation in Elastic Search,An Overly Thorough Guide To Underused Android Libraries
-788035419968530567,Especial: 5 startups brasileiras que podem tornar-se Unicórnios,"Dilma Rousseff's Impeachment Isn't a Coup, It's a Cover-Up",Accenture amplia atuação no Brasil,You won't recognize the new world of digital payments without this report,Meet the new Brazilian consumer,Nubank pode fechar as portas se BC confirmar mudança amanhã
-782975839522191154,Correios lança serviço de logística integrada para e-commerce - IDG Now!,Pega até em marte! TP-Link lança extensor de WiFi que tem alcance de 3 km²!,Facebook cria e-commerce para concorrer com eBay,É chegada a hora do desenvolvimento de software orientado por hipóteses - CIO,What 2 Years of Android Development Have Taught Me the Hard Way - Thought's by Aritra Roy,Netshoes e Zattini anunciam 30 dias de Black Friday
-759389978085260161,Top 30 Commonly Confused Words in English,How Coca-Cola Is Harvesting Innovation Energy From Startups,Stop Trying to Sound Smart When You're Writing,Rating the English Proficiency of Countries and Industries Around the World,Portugal runs for four days straight on renewable energy alone,Google Ranking Factors: The Complete List
-746073086109727488,How to get the most from your agency relationships in 2017,Meio&Mensagem,Can Accenture Take Over Advertising?,"Zendesk's ""Automatic Answers"" taps machine learning, AI to generate bot-style email responses",The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,IBM makes a big shift into cognitive computing
-742603651309629354,JetBrains DataGrip: Your Swiss Army Knife for Databases and SQL,Fábio Prado - Overview sobre índices - DBA Brasil 1.0,NoSQL Performance Benchmarks,SQL vs NoSQL: you do want to have a relational storage by default - Enterprise Craftsmanship,Gartner Reprint,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets
-730957269757756529,Por que a limitação da banda larga é uma forma de ignorar o futuro,"Google is discontinuing Google+ Hangouts On Air on September 12, pushes users to YouTube Live",Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC,"Blockchain open sources Thunder network, paving the way for instant bitcoin transactions",Cientistas trabalham em técnica que permite imprimir alimentos,A importância dos filmes de mulherzinha - Capitolina
-724699218170106849,Tensorflow wins,Deep learning software knows that a rose is a rose is a rosa rubiginosa,"Apple acquires Turi, a machine learning company","Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",New Sessions Added To Google I/O 2016 Schedule,DeepMind moves to TensorFlow
-721732705314803549,"Webinário gratuito ""Como analisar um AWR Report""",Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com,What's the Version of my Deployed Application? - DZone DevOps,Monitoramento em tempo real com Elasticsearch e Kibana,Creating a scalable API with microservices,The Definitive Guide to Database Version Control
-703416562539077070,Scrum Community - Scrum Alliance,Practical VPC Design - AWS Startup Collection,Migrating to the New Java 8 Date Time API | Baeldung,Uma recepção eficiente,Building Spring Cloud Microservices That Strangle Legacy Systems,"Bots, Messenger and the future of customer service"
-692972306229904743,Blockchain won't kill banks: Bitcoin pioneer,Itaú é pioneiro do blockchain,Nubank pode fechar as portas se BC confirmar mudança amanhã,Brazil's Banco Bradesco Joins R3 Consortium - CoinDesk,"Forget Wallets, Check out This Serious FinTech Product Built in India: ZestMoney for Instant Credit",Google e GFT firmam parceria para testes com foco em blockchain - Startupi
-686679025328909441,Ibope revela lojas de e-commerce com maior recomendação no Brasil - B!T magazine,O IPO é a saída para a Netshoes?,Netshoes e Zattini anunciam 30 dias de Black Friday,Ranking 50 Maiores Empresas do E-commerce Brasileiro/2016,Leveling Up Your JavaScript -,Java 8 Streams : 10 missing features
-667193404227875686,The Drive to Bank on Digital,"Idwall, a startup de dados que bancos, fintechs e empresas de pagamento estão de olho.","Elopar lança o ""Digio"", cartão para brigar com Nubank",Visa lança desafio para startups de tecnologia - Startupi,LOGOBR School | Behance Reviews Campinas 2016,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com
-662806181534790446,Wells Fargo to Verify Customers through Eye Prints,"Blockchain open sources Thunder network, paving the way for instant bitcoin transactions",Confused by blockchains? Revolution vs Evolution,OpenBazaar is Open for Business,The Biggest Crowdfunding Project Ever Was Supposed to Create Manager-free Companies. But It's a Mess,You won't recognize the new world of digital payments without this report
-655909700262679295,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Visa lança desafio para startups de tecnologia - Startupi,Number26 raises another $40 million for its vision for the future of banking,Futuro do mercado financeiro é tema de evento da Original Devs - Startupi,MOBILE TIME - Nascem os primeiros chatbots brasileiros,Kickstarter 3D printer will print circuit boards as part of your designs
-635870441391555852,Pago é a nova aposta da Nexxera.,"Em 2017 será possível ignorar totalmente o cartão físico, garante Itaú",Brasileira do rúgbi é pedida em casamento durante premiação,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Grupo de bancos adere à tecnologia do bitcoin em transações,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito
-615912190028612956,"Ser um bom líder depende de inúmeros fatores. Mas um deles, segundo o inglês Simon Sinek, é importantíssimo: a coragem para proteger as equipes e para arriscar quando necessário",What Science Tells Us About Leadership Potential,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Investimentos em coaching e mentoring aumentam nas empresas,O que você deve fazer para se tornar um líder melhor?,"Life Coach vs. Therapist, Learn the Difference | Tony Robbins"
-615862350872519037,Facebook cria e-commerce para concorrer com eBay,Pão de Açúcar tem rombo de R$ 512 milhões com fraude em e-commerce,Netshoes e Zattini anunciam 30 dias de Black Friday,O IPO é a saída para a Netshoes?,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,[Retro] Celebration Grids - Management 3.0
-614408900691920886,X-Men | São Paulo vai receber exposição sobre filmes da saga,"No ano em que a Apple completa 40 anos, confira a evolução do iPhone",Apple anuncia a 3ª geração da linguagem Swift para o final deste ano,[FILME] - The Hammer,"Apple's new file manager, APFS, is awesome",Enterprise developers look out: this week on Google Cloud Platform
-605114438206384896,"A sneak peek at Google's upcoming travel app, Trips",Everything you need to know about the big changes coming to Newark airport,Manhattan CRE prices spark a mass exodus of startups to Brooklyn,How to Get a Job at Google,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,9 Non-Threatening Leadership Strategies for Women
-601952361752157430,Cannes Lions 2016: Tecido tecnológico do Google leva GP de Product Design,"Franz - from idea to 10,000 daily active users in 26 days - Meet Franz",Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,"Google's AI engine is reading 2,865 romance novels to be more conversational",Conheça a patente do Google que prevê entregas por drones - Startupi,Indian outsourcing specialists must reboot their strategies
-559964548932224920,Jeff Seguros: SEGUROS E GAMES,The Real Lesson for Data Science That is Demonstrated by Palantir's Struggles,How Indra Nooyi Turned Design Thinking Into Strategy: An Interview with PepsiCo's CEO,Comment: IBM's Apple deployment stats should be a lesson to enterprise companies everywhere,Like It Is: Bob Dylan Explains What Really Killed Rock 'n' Roll,Top 10 contributing customers
-555187669877280641,Introduction to Natural Language Processing - University of Michigan | Coursera,Python Ecosystem for Machine Learning - Machine Learning Mastery,Deep Learning Demystified,My Top 9 Favorite Python Deep Learning Libraries - PyImageSearch,Mapping the World of Music Using Machine Learning: Part 1 - iHeartRadio Tech Blog,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8
-548976469460064550,Using Honcho to Create a Multi-Process Docker Container,DevOps requer profundas mudanças operacionais que o CIO precisa promover - CIO,"Docker - Build, Ship, and Run Any App, Anywhere",Up your DevOps chops with this online Kubernetes class,Introduction to release engineering,The Continuous Delivery Maturity Model
-541666025693385823,Calm down: Google's use of Material Design on iOS is fine,Alecrim/AlecrimCoreData,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,To bot or not to bot,Ordering coffee in Italy: the 10 commandments
-538948733779286129,The Physical Web,"Here's what Viv looks like, the next generation AI assistant built by Siri creator",These gloves can convert sign language into spoken English,DeepMind moves to TensorFlow,The AI business landscape,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing"
-532999578436827210,IBM Seeks to Simplify Graph with New Titan Service,"At eBay, Machine Learning is Driving Innovative New Approaches to Search Experiences","Bots, Messenger and the future of customer service",Uma recepção eficiente,Auto-scaling scikit-learn with Spark,Enable secure mode on your web product | Intercom Docs
-519908173368613957,8 Best Machine Learning Cheat Sheets,Blaise Agüera y Arcas: How computers are learning to be creative,Terms Aggregation in Elastic Search,Why Deep Learning Is Suddenly Changing Your Life,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,A Beginner's Guide To Understanding Convolutional Neural Networks
-502840688786875793,O IPO é a saída para a Netshoes?,Ibope revela lojas de e-commerce com maior recomendação no Brasil - B!T magazine,Facebook cria e-commerce para concorrer com eBay,Ranking 50 Maiores Empresas do E-commerce Brasileiro/2016,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,"Fundador da Netshoes fala ao E-Commerce Brasil sobre inovação, gestão de pessoas e futuro"
-498521148402713730,Building immutable entities into Google Cloud Datastore,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,"As Artificial Intelligence Evolves, So Does Its Criminal Potential",Docker inside docker and overview about Jenkins 2,"Why Performance Matters, Part 2: Perception Management - Smashing Magazine",Aplicações da Inteligência artificial | Endeavor Brasil
-486686184692655504,New settings for 2-Step Verification,Why Evernote Is Giving Up on Its Data Centers for Google Cloud,Here's how Evernote moved 3 petabytes of data to Google's cloud,"Cloud Shell now GA, and still free","Big data, big differentiators: this week on Google Cloud Platform","Life Coach vs. Therapist, Learn the Difference | Tony Robbins"
-462708537764773317,"Por dentro da M__A (ou, se você quiser, Mesa & Cadeira)",To bot or not to bot,Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Joel on Software,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
-454649054276160610,The Future of Pen: Windows Ink,The five phases of migrating to Google Cloud Platform,New JavaScript library brings Java to browsers without applets,Windows 10 Anniversary SDK is bringing exciting opportunities to developers,Writing good code: how to reduce the cognitive load of your code,Shutter Island (2010)
-450825503558460924,Tetra Pak Cheese and Powder Systems acquires Laude,Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,Programa de Demissão Voluntária na Moto Honda tem mais de 500 adesões,Cargill anuncia mudanças estratégicas para fortalecer a marca Nutron,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",The future of agriculture - Jim Womack visits a lean farm
-447851796385928420,MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,Sophia Genetics chega à América Latina para democratizar a Data-Driven Medicine,"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem","No Brasil, '25% dos celulares ainda são 'Burrofones'",We are on the verge of a consumer M&A avalanche,Accenture Launches Content Studio
-401664538366009049,Pinterest's Real-World Pins Let In-Store Shoppers Save Real Items to Virtual Boards,These gloves can convert sign language into spoken English,Grow fast or die slow: Focusing on customer success to drive growth,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",Amazon founder: A.I.'s impact is,"No, Apple isn't the next BlackBerry - it's the next Microsoft"
-398780385766545248,10 Stats About Artificial Intelligence That Will Blow You Away -- The Motley Fool,AI Is Here to Help You Write Emails People Will Actually Read,"At eBay, Machine Learning is Driving Innovative New Approaches to Search Experiences",How to choose algorithms for Microsoft Azure Machine Learning,Text summarization with TensorFlow,Auto-scaling scikit-learn with Spark
-387651900461462767,Android irá recomendar aplicativos baseado na localização | Google Discovery,"Fresco, sim! - Android Dev BR",Up your app's sharing game with DirectShare - Google Developers,It's The Future,StrictMode for Runtime Analysis on Android - Google Developers,"Here's what Viv looks like, the next generation AI assistant built by Siri creator"
-377975173223377441,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning",Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,"Swarm A.I. Correctly Predicts the Kentucky Derby, Accurately Picking all Four Horses of the Superfecta at 540 to 1 Odds",Google Calendar for Android can now find meeting times that work for everyone,Ray Kurzweil Predicts Three Technologies Will Define Our Future,Google's artificial intelligence is going in the wrong direction
-360529647164834348,Código Limpo - Está na hora de deixar o GDD (Gambiarra Driven Development) para trás!,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi,"Trabalhando com dinheiro no Java, uma visão pragmática da nova money-api",Why 2016 is shaping up to be the Year of the Bot,The End Of Apple Man,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment
-348408475077850711,Introduction to release engineering,Beyond Progressive Web Apps Part 1,DevOps requer profundas mudanças operacionais que o CIO precisa promover - CIO,Using Honcho to Create a Multi-Process Docker Container,Docker inside docker and overview about Jenkins 2,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog"
-330801551666885085,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,Joel on Software,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,To bot or not to bot,"Google Cloud Dataproc - the fast, easy and safe way to try Spark 2.0-preview | Google Cloud Big Data and Machine Learning Blog"
-324861070284719256,12 Best Slack Communities for Every Professional,Paquetá investe em tecnologia inédita no varejo brasileiro,The future of the shopping mall,8 Books Stanford MBAs Recommend You Read This Summer,Taco Bell chega ao Brasil no segundo semestre desse ano,"Forget The Internet Of Things, There Is A Digital Revolution Taking Place In Our Shopping Malls"
-321691855821364131,"Carros de luxo em alta, mas o alerta está aceso","Inbox by Gmail: a better way to keep track of events, newsletters and links","Blockchain open sources Thunder network, paving the way for instant bitcoin transactions","contentId
-6878119266243511199    Google acquires Synergyse, an interactive trai...
-6878119266243511199    Google acquires Synergyse, an interactive trai...
Name: title, dtype: object",DualShock 4 Repair,Google is quietly recording everything you say. Here's how to hear it
-307396946333196366,Cracking the Job Interview with TensorFlow,Why 2016 is shaping up to be the Year of the Bot,Up your app's sharing game with DirectShare - Google Developers,StrictMode for Runtime Analysis on Android - Google Developers,"Here's what Viv looks like, the next generation AI assistant built by Siri creator",AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment
-292870452169977398,Strategyzer | Business Model Generation - Book,Rewiring Citi for the digital age,Big IT Rising,The Real Lesson for Data Science That is Demonstrated by Palantir's Struggles,Jeff Seguros: SEGUROS E GAMES,An operating model for company-wide agile development
-271938775771328391,Startups apostam em aplicativos que conectam fretes e caminhoneiros,Conselho da SABMiller aceita proposta de compra da AB InBev,Where accountability really matters,Ultrapar aprova investimento adicional de R$ 196 milhões para a Ipiranga,Home-Made Twitter and Gmail Notifications with PHP and Arduino,Testing a new Drupal 8 installation with 2 Docker commands
-266262937631881148,A plan for media management in Drupal 8,The door for new contributors to Drupal is still locked,Acquia Engage 2016: Day One,Drupal 8.1.0 is now available,Hedron: Or my dissatisfaction with local development #Drupal,Bringing Pokémon GO to life on Google Cloud
-240359174314633445,Comparing React.js to Vue.js for dynamic tabular data,Quick Tip: Working with the JavaScript Battery API,Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,Santander Vies to Become First Bank to Issue Cash on Blockchain - CoinDesk,"A whole new GitHub Universe: announcing new tools, forums, and features",Say Hello to React CDK - KADIRA VOICE
-205193648629294862,Is FinTech Forcing Banking to a Tipping Point?,The sales secrets of high-growth companies,IBM makes a big shift into cognitive computing,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,Two Different Sales Motions . . . .,Mobile Time
